attack_name,token,position,repetitions,n_pairs_loaded,n_scored,n_align_failed,n_selected,mean_attack_delta,median_attack_delta,max_attack_delta,top_layer,top_component,top_combined_effect,late_encoder_mean,late_decoder_self_attn_mean,late_decoder_cross_attn_mean,late_decoder_mlp_mean
false_start_5,false,start,5,500,500,0,200,-0.041561576252845275,0.0050745010375976,2.3155946731567383,10,encoder_mlp,1.0284431577041333,0.9904600085864516,0.4837584179921204,0.6501910071647335,0.6501910071647335
important_end_1,important,end,1,500,500,0,200,-0.014996088566966118,-0.0041637420654296,0.1965205669403076,11,decoder_cross_attn,1.0,0.4681788486844143,0.42219954536311327,0.6195549705501892,0.6195549705501892
important_end_2,important,end,2,500,500,0,200,-0.020035484977816164,-0.0071487426757812,0.3241596221923828,11,decoder_cross_attn,1.0,0.37952549171697125,0.4222210100873339,0.6187267594081194,0.6187267594081194
important_end_3,important,end,3,500,500,0,200,-0.02934576225231805,-0.0100440979003906,0.6309242248535156,11,decoder_cross_attn,1.0,0.387725165906857,0.33067652337080566,0.5506508284706723,0.5506508284706723
important_end_4,important,end,4,500,500,0,200,-0.02832347081182428,-0.0075101852416992,0.975031852722168,11,encoder_mlp,1.0484992272328393,0.4497315108702342,0.3549544583286429,0.569353268278876,0.569353268278876
important_end_5,important,end,5,500,500,0,200,-0.023822781670020103,-0.0034313201904296,1.1234121322631836,11,encoder_mlp,1.060573429160754,0.44833764665751547,0.36517558865677435,0.5750077190000791,0.5750077190000791
important_random_1,important,random,1,500,500,0,149,-0.04429862833365766,-0.0204429626464843,0.3483409881591797,10,encoder_mlp,1.045390598249594,0.9984135146839024,0.47341459764247623,0.6426483810001957,0.6426483810001957
important_random_2,important,random,2,500,500,0,148,-0.07703603391040277,-0.0398855209350585,0.6831388473510742,11,decoder_cross_attn,1.0,0.8787852393481282,0.5014795576902844,0.6670905550622388,0.6670905550622388
important_random_3,important,random,3,500,500,0,117,-0.15627200941285557,-0.0628614425659179,1.3386735916137695,10,encoder_mlp,1.0230631945492588,0.9247723537747363,0.497157529684186,0.6623990098919605,0.6623990098919605
important_random_4,important,random,4,500,499,1,137,-0.1922602165161462,-0.0700855255126953,1.5320520401000977,11,decoder_cross_attn,1.0,0.9080341209081657,0.48934456842963625,0.6574354287531918,0.6574354287531918
important_random_5,important,random,5,500,496,4,132,-0.22407543096209454,-0.0939464569091796,1.881478309631348,10,encoder_mlp,1.043180915002515,0.9221215915338918,0.47448764584284625,0.6384919639097919,0.6384919639097919
important_start_1,important,start,1,500,500,0,120,-0.12555890957188068,-0.0620365142822265,1.1872310638427734,9,encoder_mlp,1.0981883971290278,0.9866730575166173,0.39806724827727813,0.5757181391378856,0.5757181391378856
important_start_2,important,start,2,500,500,0,80,-0.1515351021069521,-0.0975685119628906,2.8089427947998047,11,decoder_cross_attn,1.0,0.8440124625212346,0.399744700096383,0.5788569861664161,0.5788569861664161
important_start_3,important,start,3,500,500,0,94,-0.16757156624931085,-0.0977592468261718,3.545614242553711,11,decoder_cross_attn,1.0,0.8102478002160869,0.42373432541038347,0.6058159456009184,0.6058159456009184
important_start_4,important,start,4,500,500,0,142,-0.12218645429219553,-0.0690555572509765,3.402888298034668,11,decoder_cross_attn,1.0,0.8376726167280272,0.41317083476711436,0.601021686755941,0.601021686755941
important_start_5,important,start,5,500,500,0,193,-0.07456312287269921,-0.0417823791503906,3.2067251205444336,10,encoder_mlp,1.009459573939035,0.9170384192338913,0.4686128499673733,0.6462700758590832,0.6462700758590832
information_end_1,information,end,1,500,500,0,200,0.0060209082382170764,0.0092945098876953,0.7177543640136719,11,decoder_cross_attn,1.0,0.383172947836746,0.59538630767755,0.731424169998875,0.731424169998875
information_end_2,information,end,2,500,500,0,200,-0.008987750483244603,0.0157384872436523,0.8062272071838379,11,decoder_cross_attn,1.0,0.24629290609118404,0.6079507156438896,0.7430094010742712,0.7430094010742712
information_end_3,information,end,3,500,500,0,200,0.027683341955991734,0.0427742004394531,1.0960001945495603,11,decoder_cross_attn,1.0,0.25006451618701225,0.6084638151376826,0.7430089626906143,0.7430089626906143
information_end_4,information,end,4,500,500,0,200,0.10689738753884723,0.0881500244140625,1.555828094482422,11,decoder_cross_attn,1.0,0.4092987919851636,0.5830794973362824,0.7274307266863547,0.7274307266863547
information_end_5,information,end,5,500,500,0,200,0.18331475081629822,0.1234807968139648,2.0519018173217773,11,decoder_cross_attn,1.0,0.4074288665490965,0.6056054558420683,0.7464290294015066,0.7464290294015066
information_random_1,information,random,1,500,500,0,143,-0.05899085603210714,-0.0410118103027343,1.6515207290649414,11,encoder_mlp,1.0036662216653995,0.896808237296276,0.4801027110843886,0.6585607645497218,0.6585607645497218
information_random_2,information,random,2,500,500,0,148,-0.08002138541709226,-0.0684432983398437,2.9855823516845703,11,decoder_cross_attn,1.0,0.8165562905572249,0.5076705489775599,0.678606302971192,0.678606302971192
information_random_3,information,random,3,500,500,0,142,-0.1306849528387097,-0.0941810607910156,2.2574987411499023,11,decoder_cross_attn,1.0,0.7717859132948932,0.5286735725865253,0.6923931550641851,0.6923931550641851
information_random_4,information,random,4,500,500,0,150,-0.13982078836928646,-0.0983877182006836,3.993943214416504,11,decoder_cross_attn,1.0,0.7488821993494665,0.5479475444256063,0.70440024954523,0.70440024954523
information_random_5,information,random,5,500,499,1,142,-0.16190972850797603,-0.1323280334472656,4.374674081802368,11,decoder_cross_attn,1.0,0.7690395721925171,0.538257198187047,0.6965681229317292,0.6965681229317292
information_start_1,information,start,1,500,500,0,104,-0.11397138782595218,-0.0652618408203125,0.6615486145019531,11,decoder_cross_attn,1.0,0.5443770328231802,0.4640458957462211,0.6308907152676522,0.6308907152676522
